objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,class
1237648675607871843,18.99841,17.97799,17.59079,17.44803,17.43322,STAR
1237655551817810151,22.65307,20.46501,19.70399,19.34184,19.15544,STAR
1237648675070935247,18.42463,16.77505,16.15567,15.92893,15.86987,STAR
1237648675070935386,19.29556,17.8625,17.37697,17.16075,17.07082,STAR
1237648705679261777,17.6388,16.45407,16.00248,15.83099,15.75579,STAR
1237648675070935222,18.7592,17.49718,17.02989,16.83666,16.76683,STAR
1237648675070935106,16.38187,15.0172,15.06729,15.12915,15.17874,STAR
1237648705679328292,25.77248,24.91381,22.53008,19.53166,17.81336,STAR
1237648705679261795,18.06133,16.97777,16.86914,16.88062,16.92716,STAR
1237648705142260108,24.10003,22.15641,20.91426,19.28572,18.57137,STAR
1237655551280873521,20.51293,19.47161,19.00869,18.78131,18.72147,STAR
1237655551280875077,22.73181,23.50274,21.45731,20.23596,19.60987,STAR
1237648704605388848,18.23494,17.03409,16.581,16.40631,16.33356,STAR
1237648704605388982,18.62899,17.65793,17.26364,17.09159,17.01244,STAR
1237648705142260369,20.1273,19.44798,18.82633,18.46172,18.16395,STAR
1237648674533999143,20.10859,18.98766,18.85091,18.80809,18.77076,STAR
1237655551818072215,21.34031,18.66313,17.1712,16.0999,15.51591,STAR
1237648675608068230,24.63518,25.11437,21.63489,19.7938,22.82693,STAR
1237648705679393331,19.54919,18.3981,18.23667,18.2301,18.18867,STAR
1237655551818072583,21.38092,18.73181,17.33892,16.54433,16.09797,STAR
1237648675071131668,17.41529,16.24742,15.81339,15.65779,15.60107,STAR
1237648675071066401,18.10101,16.79895,16.25451,16.00242,16.03759,STAR
1237655551818072503,19.07948,18.09176,17.68965,17.51852,17.44139,STAR
1237648674534195233,18.69257,16.86043,16.1207,15.83725,15.66301,STAR
1237648705142325675,16.76324,16.89975,17.28861,17.59133,17.85925,STAR
1237648674534064985,20.31041,18.74265,18.10908,17.83575,17.67232,STAR
1237651211748704371,18.42983,17.00826,16.3558,16.11291,15.98495,STAR
1237651225170542765,20.81621,19.53884,18.9587,18.7667,18.70517,STAR
1237651211748835385,17.53438,17.52077,17.77567,17.98313,18.10156,STAR
1237651224633803763,20.75062,20.293,19.26727,19.11815,18.45227,STAR
1237651225707348329,19.73896,18.15601,17.24214,16.63714,16.2223,STAR
1237651225707348056,17.03185,15.97814,15.82018,15.80594,15.85645,STAR
1237651212822315230,24.58156,21.12046,19.61483,18.0366,17.27106,STAR
1237651212285575832,24.32967,22.35212,20.82356,19.23219,18.32144,STAR
1237651225170542619,19.18994,17.25677,16.52362,16.2624,16.11638,STAR
1237651212285575286,17.6135,16.67179,16.37335,16.28211,16.27119,STAR
